text,label,palavras tóxicas,palavras não tóxicas,palavras neutras,contagem tóxica,contagem não tóxica,contagem neutras,contagem de palavras,contagem de letras
"olha quem chegouuuuu, nossos queridinhos!!! vem na minha direo 

fem : 10/15
masc : 25/40

#qqmt",0,1,1,1,10,15,10,16,96
"veio umas teorias muito loucas na minha cabea agora, pqp to assustado",1,1,1,1,11,10,9,12,69
"mais nao tinha falado ontem que no ia ser patrocinado nada que pudesse ""violar"" a moralidade da famlia brasileira",0,1,1,1,15,19,15,19,113
quer ser filha da puta logo comigo que sou 50x pior kkkkkkkkkkkkkk fica no sapatinho,1,1,1,1,14,13,13,15,84
vai besta  casquei com a ultima foto,1,1,1,1,7,7,7,7,36
"no sei oq  mais chocante, um botafoguense, ou um botafoguense falando de torcida e grandeza.",1,1,1,1,14,11,11,15,92
pois  mano que coisa chata da porra,0,1,1,1,7,7,7,7,35
eu odeio sentir dio de algum pq eu t por trs da porra da tela de um celular e no posso meter o soco na fua.,1,1,1,1,25,25,25,26,107
"se eu ganhar raspo minha cabea
  #sorteiochipart",0,1,1,1,5,6,5,7,48
vlw mano tmj,0,1,1,1,3,3,3,3,12
"mulher que  mulher no discuti por homem , quando a briga t feia deixa pra quem passa fome 

#vctediobailedoegito",0,1,1,1,17,18,17,19,112
bicho eu fico puto demais,0,1,1,1,5,5,5,5,25
"deve ser um peso, mas chorar faz parte do ritual de cura, s vezes",0,1,1,1,11,14,11,14,65
eu to puto so queria ser prioridade na vida de alguem nessa caralha mas fds no sou nem minha msm imagina na dos outros,1,1,1,1,24,23,23,24,118
"eu lembro quando a prola era tmida e quieta, eu criei um monstro",0,1,1,1,11,13,11,13,64
"puta merda, que saudade de jogar midnight club 3",1,1,1,1,9,7,7,9,48
"voc eh fraco stuart liro, lhe falta 
lepto
lepisto
lesoto
lepecto
a doena do rato",0,1,1,1,9,15,9,15,81
vai se ferrar af desgraada de perfeita te amo gostosa da minha vida,0,1,1,1,12,13,12,13,67
blz perdi o onibus kkkkkkkkk vsf,1,1,1,1,6,5,5,6,32
"H um mistrio h anos, desde a criao do Ministrio da Pesca na Esplanada. Por que Braslia tem quase 40 mil pescadores que recebem o seguro-defeso pago pelo Governo?",0,1,1,1,22,28,22,29,161
"com certeza vai ser mo, a taylor  mto inteligente",0,1,1,1,9,9,9,9,49
boca fechada pros planos darem certo!!!!,0,1,1,1,5,5,5,6,40
"eu tambm amg, mas me incomoda aquela mata atlntica na minha buceta",1,1,1,1,12,10,10,12,66
nao sei . pra mim todo japones que  comunista  burro... uma coisa q meu pai ensinou kk,1,1,1,1,17,14,14,17,86
deus s no me fez magra pq sabe q se fizesse eu iria ser uma grande vadia,1,1,1,1,17,16,16,17,72
no  possvel que vai virar essa porra de jogo,0,1,1,1,9,9,9,9,44
"Eu na hora de comprar celular ""nossa quero um Plus quero um grande amo celular grande"" 

Eu depois de anos comprei um celular grande ""que coisa grande do caralho que merda""",1,1,1,1,31,29,29,31,172
quem no gosta de uma cerveja geladinha = aberrao,1,1,1,1,9,9,9,9,48
tenho nem privacidade pra ficar triste em paz mais vtnc,0,1,1,1,9,10,9,10,55
v me manter assim pq as outras pessoas no tem nada a ver com isso pq o que d vontade  de se a porra de um cuzao do caralho,1,1,1,1,29,28,28,29,122
"se o meu horrio deste ano, foi igual ao do ano passado, vou morrer mm",0,1,1,1,15,15,15,15,69
a mas curitiba t um frio do carai,1,1,1,1,8,8,8,8,33
vai sonhando filho da puta,1,1,1,1,5,5,5,5,26
no escurinho da favela,0,1,1,1,3,3,2,4,22
eu amo a isabela  isto kkkkdkndhenwjwnwhaj,0,1,1,1,5,5,5,6,42
"""O Rio de Janeiro, que sempre respirou Flamengo, precisava estar ofegante. (...) Domingo, aps porrar um eterno fregus, um recado: Vamos virar, Mengo!. No estvamos pedindo, e sim avisando.""

 entende do riscado.

Vale demais a leitura!",0,1,1,1,18,35,18,36,234
"Kakakak  que o Malcon estava negociando com a Roma e j estava dado como certo na Itlia, de LTIMA hora o jogador deixou de assinar com a Roma pra ir pro Barcelona dando um chapu no clube italiano. Desde ento ele  amado pela Roma kakakakka. Da o Zenit cornetou kakakkakaka",0,1,1,1,38,48,38,50,270
"quatrocentos tweets, falta pouco 

paulinha na fab",0,1,1,1,3,5,3,7,50
caralho eu sentaria em varias mesas,0,1,1,1,5,5,4,6,35
retardado  aquele que no leva a biologia em considerao,1,1,1,1,9,8,8,9,54
adorava que a puta da maria vivas me respondesse,1,1,1,1,7,6,6,9,48
kkkkkk n porra essa mulher  de outro mundo na boa,0,1,1,1,10,10,10,10,49
os meus lowkey so mas acho q mais liberdade ia me fazer confuso KKKKK cm  q vcs chegam a casa dps das 8 da noite qd  q vcs jantam???,0,1,1,1,26,28,26,29,132
o que eu tenho de feio tenho de engraado.,0,1,1,1,8,8,8,9,41
"as vezes d vontade sabe, mas j aceitei q n vai acontece kkkkk",0,1,1,1,12,13,12,13,61
"eu tava muito linda ontem,pqp",1,1,1,1,4,4,4,5,29
"que babaca arrogante, acha que  a ltima palavra do direito, vsfder.",1,1,1,1,10,9,9,11,67
bolsonaro surfistinho...,0,1,1,1,1,1,1,2,24
ele queria nudes da alma mas eu s tinha foto do pau,1,1,1,1,12,12,12,12,51
estou morrendo de saudades,0,1,1,1,4,4,4,4,26
Pena de morte j para esses lixos assassinos confessos! Gastar dinheiro com gente como essas a  sim desperdcio de quem paga a conta! NO EXISTE DIREITOS HUMANOS PARA PESSOAS ASSIM E EU NO SOU BOLSOMINION PORRA!,1,1,1,1,35,25,25,36,208
s queria no pensar em muita coisa...,0,1,1,1,6,6,6,7,36
porra cheguei de sv na merda fi kkkkkkkk,1,1,1,1,8,7,7,8,40
"se eu tivesse amigos assim, eu j teria pegado todos kkk
#mpn #nowunited",0,1,1,1,13,13,13,13,71
heri vegetariano  outro patamar,0,1,1,1,3,4,3,4,31
saudades do nosso amigo seedorf,0,1,1,1,4,4,4,5,31
"Realmente...
Pensar eu o que eles disseram dos professores ,na sade, nos transportes publicos,da cgtp,etc,agora numa greve entre privados,nem tocar...
J no tenho idade,mas aqui vai. ..pro caralho...",1,1,1,1,26,19,18,28,198
"fico puta quando vejo essas coisas, namoral",1,1,1,1,7,7,7,7,43
um cara que em 30 anos no fez nada de relevante no vai dar jeito no pas nunca,0,1,1,1,17,18,17,18,77
t errada no,0,1,1,1,3,3,3,3,11
meu deus at o richard...........,0,1,1,1,4,4,4,5,32
poxa queria engolir o pau do jungkook inteirinho,1,1,1,1,7,7,7,8,48
"Azul linhas areas meu amigo, no precisamos patrocinio gringo, precisamos de alguem que valorize nosso clube e nosso pas.",0,1,1,1,11,18,11,19,120
"nunca fiquei to triste na vida, pqp, emocionada demaissssss, tenho que acostumar a esperar tudo !!!",0,1,1,1,14,16,14,16,99
"orra j acordo me estressando, vsf",0,1,1,1,4,5,4,6,33
eu odeio as ligaes da vivo pqp q pertubao,1,1,1,1,8,8,8,9,41
t sentindo uma saudade do caralho de voc,0,1,1,1,8,8,8,8,40
tem que limpar toda essa merda.,0,1,1,1,6,6,6,6,31
"pra mim t claro que ele no foi dar essa caneta, no sei pra vocs",0,1,1,1,14,15,14,15,63
shawn mendes eh homofobico pq ja deixou claro que no eh gay cancelem essa aberrao,1,1,1,1,15,11,11,15,81
bolsonaro se vingou da globo ???? essa folha de so paulo  um lixo mesmo !,1,1,1,1,15,13,13,15,73
s pq nasci feio,0,1,1,1,4,4,4,4,15
"a caralho,q gato",0,1,1,1,2,3,2,3,16
"lula t preso, babaca!",1,1,1,1,4,3,3,4,21
"Lol, se calhar eu  q tenho q me acalmar antes de responder. ;) Mas o q   disse nem  to fora. N  difcil encontrar pessoas para qm  mesmo assim q tem de ser. E  por isso q eu passo a ferro desde mida e mts amigos da minha idd n sabem ou aprenderam para a aos 30.",0,1,1,1,45,54,45,56,260
"por isso foi esculachado pelo   , esse neto  escroto sem crebro.",1,1,1,1,10,9,9,11,64
"mano, eu amo sair com quem n tem frescura, n fica de cara feia, e super fecha cmg, a karen e a bia so dessas",0,1,1,1,23,25,23,25,108
essa tag est sempre atual! #stfvergonhanacional,0,1,1,1,5,6,5,6,47
eita carai nao moss kkkkk,1,1,1,1,5,4,4,5,25
"Na Ucrnia as autoridades desrespeitaram as instituies e a liturgia dos cargos, esqueceram que todo poder emana do povo, que apenas exercem o poder por outorga do povo, e por tempo limitado.
Resultado: o povo colocou os pingos nos is... lata do lixo, literalmente.",0,1,1,1,34,43,34,44,263
meu deus????? fico espantado q parece q os jornalista no fazem o mnimo,1,1,1,1,13,11,11,13,70
ela disse que eu no valho nada por isso que essa noite ela vem fuder comigo,1,1,1,1,16,15,15,16,75
"Desgoverno da destruio, esconde dados !. estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vo manipular dados para apresentao da falsa realmente.. at o presente mostrar o contrrio a destruio visvel do pas.!. #ForaBolonaro",1,1,1,1,40,34,34,41,258
porra lua para de decifrar meus asterisco,1,1,1,1,6,5,5,7,41
"Gente agora  srio, pq s comigo que no acontece de eu gostar da pessoa pra caralho e ela gostar de mim pra caralho???? Oq eu tenho de errado vsfdddd",1,1,1,1,28,27,27,29,147
"""Aquecimento global  uma mentira!"" ESTUDO A BASE DE YOUTUBE NO TE FAZ SABIO, TE FAZ SER UM IGNORANTE DE MERDA MESMO! VAI ESTUDAR UMA PORRA DE UMA BIOLOGIA E FSICA",1,1,1,1,28,20,20,30,162
juma pica,0,1,1,1,1,1,1,2,9
no aguento mais essas gringas me colocando em grupo de puta no instagram gente,1,1,1,1,14,14,14,14,78
preocupao do carai com a minha vida vou mandar um boleto pra tu pagar visse,0,1,1,1,14,14,13,15,75
"hoje o dia est lindo, perfeito para levar um tiro e-- parei",0,1,1,1,11,12,11,12,59
e nesse tempo ganhou uma copa do brasil e dois campeonatos brasileiros,0,1,1,1,12,12,12,12,70
"as pessoas falando que t escutando funk s pra ver a raba das meninas kkkkkkkkkkk, vocs j me respeitaram mais",0,1,1,1,19,20,19,20,108
pqp anitta??? garota???? mdsss,0,1,1,1,1,3,1,4,30
chama na glria,0,1,1,1,2,3,2,3,14
"R$ 32,90 cada | #DiaDosPais
 ideal para quem busca conforto na leitura da #PalavradeDeus e, ao mesmo tempo, praticidade no uso e transporte dirios.  

Vlido por tempo limitado!",0,1,1,1,18,27,18,28,176
"ridculo cobrar o que deve ser espontneo, mas  na esperana de mudar algo e a pessoa simplesmente te dar valor quando na verdade  pura perda de tempo e no fim sabemos que isso no vai mudar nunca at seguir o baile e aparecer algum que faa o que o outro no faz",1,1,1,1,52,51,51,52,256
"maldita  a boca que me julga, sendo pior que eu...",0,1,1,1,8,9,8,10,50
kkkk  o melhor que nos tem kk,0,1,1,1,7,7,7,7,29
"t com uma puta sdds do meu filho, mas estou c mt preguia de ir p catarina",1,1,1,1,16,17,16,17,73
